Congress Number,Bill Number,Short Title,Last Action Date,Bill Summary Link,PDF Link,TXT Link,XML Link
117,HR 99,Citizen Legislature Anti-Corruption Reform of Congress Act; CLEAN Congress Act,2024-06-06T19:38:38Z,https://api.govinfo.gov/packages/BILLS-117hr99ih/summary,https://api.govinfo.gov/packages/BILLS-117hr99ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr99ih/htm,https://api.govinfo.gov/packages/BILLS-117hr99ih/xml
117,HR 999,Wild Olympics Wilderness and Wild and Scenic Rivers Act,2024-06-06T19:22:49Z,https://api.govinfo.gov/packages/BILLS-117hr999ih/summary,https://api.govinfo.gov/packages/BILLS-117hr999ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr999ih/htm,https://api.govinfo.gov/packages/BILLS-117hr999ih/xml
117,HR 998,Offshore Wind Jobs and Opportunity Act,2024-06-06T19:41:53Z,https://api.govinfo.gov/packages/BILLS-117hr998ih/summary,https://api.govinfo.gov/packages/BILLS-117hr998ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr998ih/htm,https://api.govinfo.gov/packages/BILLS-117hr998ih/xml
117,HR 997,English Language Unity Act of 2021,2024-06-06T19:24:24Z,https://api.govinfo.gov/packages/BILLS-117hr997ih/summary,https://api.govinfo.gov/packages/BILLS-117hr997ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr997ih/htm,https://api.govinfo.gov/packages/BILLS-117hr997ih/xml
117,HR 996,Congress Commission Act,2024-06-06T19:31:48Z,https://api.govinfo.gov/packages/BILLS-117hr996ih/summary,https://api.govinfo.gov/packages/BILLS-117hr996ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr996ih/htm,https://api.govinfo.gov/packages/BILLS-117hr996ih/xml
117,HR 995,To amend the Child Abuse Prevention and Treatment Act to authorize the Secretary of Health and Human Services to award grants for purposes of reducing child abuse and neglect due to the substance use disorder of a parent or caregiver.,2024-06-06T19:43:46Z,https://api.govinfo.gov/packages/BILLS-117hr995ih/summary,https://api.govinfo.gov/packages/BILLS-117hr995ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr995ih/htm,https://api.govinfo.gov/packages/BILLS-117hr995ih/xml
117,HR 994,Justice is Not For Sale Act of 2021,2024-06-06T19:52:16Z,https://api.govinfo.gov/packages/BILLS-117hr994ih/summary,https://api.govinfo.gov/packages/BILLS-117hr994ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr994ih/htm,https://api.govinfo.gov/packages/BILLS-117hr994ih/xml
117,HR 993,Second Amendment Preservation Act,2024-06-06T19:59:23Z,https://api.govinfo.gov/packages/BILLS-117hr993ih/summary,https://api.govinfo.gov/packages/BILLS-117hr993ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr993ih/htm,https://api.govinfo.gov/packages/BILLS-117hr993ih/xml
117,HR 992,No Taxpayer Funding for the Chinese Communist Party Act of 2021,2024-06-06T19:42:17Z,https://api.govinfo.gov/packages/BILLS-117hr992ih/summary,https://api.govinfo.gov/packages/BILLS-117hr992ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr992ih/htm,https://api.govinfo.gov/packages/BILLS-117hr992ih/xml
117,HR 991,Preserving Safety Net Integrity Act of 2021,2024-06-06T19:21:09Z,https://api.govinfo.gov/packages/BILLS-117hr991ih/summary,https://api.govinfo.gov/packages/BILLS-117hr991ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr991ih/htm,https://api.govinfo.gov/packages/BILLS-117hr991ih/xml
117,HR 990,Block Foreign-Funded Political Ads Act,2024-06-06T19:40:21Z,https://api.govinfo.gov/packages/BILLS-117hr990ih/summary,https://api.govinfo.gov/packages/BILLS-117hr990ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr990ih/htm,https://api.govinfo.gov/packages/BILLS-117hr990ih/xml
117,HR 98,COVID–19 Victims Compensation Fund Act,2024-06-06T19:48:28Z,https://api.govinfo.gov/packages/BILLS-117hr98ih/summary,https://api.govinfo.gov/packages/BILLS-117hr98ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr98ih/htm,https://api.govinfo.gov/packages/BILLS-117hr98ih/xml
117,HR 989,Consistent Labeling for Political Ads Act,2024-06-06T19:38:17Z,https://api.govinfo.gov/packages/BILLS-117hr989ih/summary,https://api.govinfo.gov/packages/BILLS-117hr989ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr989ih/htm,https://api.govinfo.gov/packages/BILLS-117hr989ih/xml
117,HR 988,Recreational Lands Self-Defense Act of 2021,2024-06-06T20:01:40Z,https://api.govinfo.gov/packages/BILLS-117hr988ih/summary,https://api.govinfo.gov/packages/BILLS-117hr988ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr988ih/htm,https://api.govinfo.gov/packages/BILLS-117hr988ih/xml
117,HR 987,"To establish a grant program for domestic maritime workforce training and education, and for other purposes.",2024-06-06T19:35:40Z,https://api.govinfo.gov/packages/BILLS-117hr987ih/summary,https://api.govinfo.gov/packages/BILLS-117hr987ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr987ih/htm,https://api.govinfo.gov/packages/BILLS-117hr987ih/xml
117,HR 986,Robust International Response to Pandemic Act,2024-06-06T19:28:53Z,https://api.govinfo.gov/packages/BILLS-117hr986ih/summary,https://api.govinfo.gov/packages/BILLS-117hr986ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr986ih/htm,https://api.govinfo.gov/packages/BILLS-117hr986ih/xml
117,HR 985,"Well-Informed, Scientific, and Efficient Government Act of 2021; WISE Government Act",2024-06-06T19:27:33Z,https://api.govinfo.gov/packages/BILLS-117hr985ih/summary,https://api.govinfo.gov/packages/BILLS-117hr985ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr985ih/htm,https://api.govinfo.gov/packages/BILLS-117hr985ih/xml
117,HR 984,Retirement Inflation Protection Act of 2021,2024-06-06T19:41:25Z,https://api.govinfo.gov/packages/BILLS-117hr984ih/summary,https://api.govinfo.gov/packages/BILLS-117hr984ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr984ih/htm,https://api.govinfo.gov/packages/BILLS-117hr984ih/xml
117,HR 983,Preventing Crimes Against Veterans Act of 2021,2024-06-06T19:27:29Z,https://api.govinfo.gov/packages/BILLS-117hr983rfs/summary,https://api.govinfo.gov/packages/BILLS-117hr983rfs/pdf,https://api.govinfo.gov/packages/BILLS-117hr983rfs/htm,https://api.govinfo.gov/packages/BILLS-117hr983rfs/xml
117,HR 983,Preventing Crimes Against Veterans Act of 2021,2024-06-06T19:39:54Z,https://api.govinfo.gov/packages/BILLS-117hr983ih/summary,https://api.govinfo.gov/packages/BILLS-117hr983ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr983ih/htm,https://api.govinfo.gov/packages/BILLS-117hr983ih/xml
117,HR 983,Preventing Crimes Against Veterans Act of 2021,2024-06-06T19:28:57Z,https://api.govinfo.gov/packages/BILLS-117hr983eh/summary,https://api.govinfo.gov/packages/BILLS-117hr983eh/pdf,https://api.govinfo.gov/packages/BILLS-117hr983eh/htm,https://api.govinfo.gov/packages/BILLS-117hr983eh/xml
117,HR 982,Seniors Fraud Prevention Act of 2021,2024-06-06T19:44:07Z,https://api.govinfo.gov/packages/BILLS-117hr982ih/summary,https://api.govinfo.gov/packages/BILLS-117hr982ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr982ih/htm,https://api.govinfo.gov/packages/BILLS-117hr982ih/xml
117,HR 981,IoT Readiness Act of 2021,2024-06-06T20:01:19Z,https://api.govinfo.gov/packages/BILLS-117hr981ih/summary,https://api.govinfo.gov/packages/BILLS-117hr981ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr981ih/htm,https://api.govinfo.gov/packages/BILLS-117hr981ih/xml
117,HR 980,Southwestern Oregon Watershed and Salmon Protection Act of 2021,2024-06-06T19:27:26Z,https://api.govinfo.gov/packages/BILLS-117hr980ih/summary,https://api.govinfo.gov/packages/BILLS-117hr980ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr980ih/htm,https://api.govinfo.gov/packages/BILLS-117hr980ih/xml
117,HR 97,Federal Death Penalty Abolition Act of 2021,2024-06-06T19:19:28Z,https://api.govinfo.gov/packages/BILLS-117hr97ih/summary,https://api.govinfo.gov/packages/BILLS-117hr97ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr97ih/htm,https://api.govinfo.gov/packages/BILLS-117hr97ih/xml
117,HR 979,Vaccine Fairness Act,2024-06-06T19:50:48Z,https://api.govinfo.gov/packages/BILLS-117hr979ih/summary,https://api.govinfo.gov/packages/BILLS-117hr979ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr979ih/htm,https://api.govinfo.gov/packages/BILLS-117hr979ih/xml
117,HR 978,Chai Suthammanont Remembrance Act of 2021,2024-06-06T19:17:54Z,https://api.govinfo.gov/packages/BILLS-117hr978ih/summary,https://api.govinfo.gov/packages/BILLS-117hr978ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr978ih/htm,https://api.govinfo.gov/packages/BILLS-117hr978ih/xml
117,HR 977,Lady Liberty Act of 2021,2024-06-06T19:24:47Z,https://api.govinfo.gov/packages/BILLS-117hr977ih/summary,https://api.govinfo.gov/packages/BILLS-117hr977ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr977ih/htm,https://api.govinfo.gov/packages/BILLS-117hr977ih/xml
117,HR 976,Ensuring Transparent Honest Information on COVID–19 Act; ETHIC Act,2024-06-06T19:43:23Z,https://api.govinfo.gov/packages/BILLS-117hr976ih/summary,https://api.govinfo.gov/packages/BILLS-117hr976ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr976ih/htm,https://api.govinfo.gov/packages/BILLS-117hr976ih/xml
117,HR 975,Ensuring Seniors’ Access to COVID Treatments Act,2024-06-06T19:48:55Z,https://api.govinfo.gov/packages/BILLS-117hr975ih/summary,https://api.govinfo.gov/packages/BILLS-117hr975ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr975ih/htm,https://api.govinfo.gov/packages/BILLS-117hr975ih/xml
117,HR 974,Sustainable Budget Act of 2021,2024-06-06T19:20:17Z,https://api.govinfo.gov/packages/BILLS-117hr974ih/summary,https://api.govinfo.gov/packages/BILLS-117hr974ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr974ih/htm,https://api.govinfo.gov/packages/BILLS-117hr974ih/xml
117,HR 973,Central Coast Heritage Protection Act,2024-06-06T19:38:49Z,https://api.govinfo.gov/packages/BILLS-117hr973ih/summary,https://api.govinfo.gov/packages/BILLS-117hr973ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr973ih/htm,https://api.govinfo.gov/packages/BILLS-117hr973ih/xml
117,HR 972,Wildlife Refuge Conservation and Recreation for the Community Act,2024-06-06T19:33:52Z,https://api.govinfo.gov/packages/BILLS-117hr972rh/summary,https://api.govinfo.gov/packages/BILLS-117hr972rh/pdf,https://api.govinfo.gov/packages/BILLS-117hr972rh/htm,https://api.govinfo.gov/packages/BILLS-117hr972rh/xml
117,HR 972,Wildlife Refuge Conservation and Recreation for the Community Act,2024-06-06T19:31:30Z,https://api.govinfo.gov/packages/BILLS-117hr972ih/summary,https://api.govinfo.gov/packages/BILLS-117hr972ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr972ih/htm,https://api.govinfo.gov/packages/BILLS-117hr972ih/xml
117,HR 971,Small Business Succession Planning Act,2024-06-06T19:37:05Z,https://api.govinfo.gov/packages/BILLS-117hr971ih/summary,https://api.govinfo.gov/packages/BILLS-117hr971ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr971ih/htm,https://api.govinfo.gov/packages/BILLS-117hr971ih/xml
117,HR 970,Opportunity Zone Extension Act of 2021,2024-06-06T19:52:15Z,https://api.govinfo.gov/packages/BILLS-117hr970ih/summary,https://api.govinfo.gov/packages/BILLS-117hr970ih/pdf,https://api.govinfo.gov/packages/BILLS-117hr970ih/htm,https://api.govinfo.gov/packages/BILLS-117hr970ih/xml
