Congress Number,Session,Bill Number,Title,Short Titles,Bill Version,Is Private,Branch,Is Appropriation,Collection Name,Publisher,SuDoc Class,Date Issued,Current Chamber,Government Author 1,Government Author 2,Category,Last Action Date,Report Number,Bill Summary Link,Sponsors,Cosponsors,Committees,Actions
117,1,HR 99,To prohibit a single bill or joint resolution presented by Congress to the President from containing multiple subjects and to require the equal application of laws to Members of Congress.,"Citizen Legislature Anti-Corruption Reform of Congress Act, CLEAN Congress Act",ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-01-04,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:38:38Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr99ih/summary,Brian K. Fitzpatrick,Mike Gallagher,Committee on the Judiciary,Not Available
117,1,HR 999,"To designate certain lands in the State of Washington as components of the National Wilderness Preservation System, and for other purposes.",Wild Olympics Wilderness and Wild and Scenic Rivers Act,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:22:49Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr999ih/summary,Derek Kilmer,None,Committee on Natural Resources,Not Available
117,1,HR 998,"To establish an offshore wind career training grant program, and for other purposes.",Offshore Wind Jobs and Opportunity Act,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:41:53Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr998ih/summary,William R. Keating,"Chellie Pingree, Chris Pappas, Paul Tonko, Salud O. Carbajal, Rashida Tlaib, Jerry McNerney, Donald Norcross, Jared Huffman, Yvette D. Clarke, Nydia M. Velazquez, Stephen F. Lynch, A. Donald McEachin, Katherine M. Clark, Ro Khanna, Richard E. Neal, Ann M. Kuster, Alan S. Lowenthal, Lori Trahan, Albio Sires, Andy Kim","Committee on Education and Labor, Committee on Natural Resources",Not Available
117,1,HR 997,"To declare English as the official language of the United States, to establish a uniform English language rule for naturalization, and to avoid misconstructions of the English language texts of the laws of the United States, pursuant to Congress’ powers to provide for the general welfare of the United States and to establish a uniform rule of naturalization under article I, section 8, of the Constitution.",English Language Unity Act of 2021,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:24:24Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr997ih/summary,Louie Gohmert,"Randy K. Weber, Sr., Jeff Duncan, Paul A. Gosar, Steven M. Palazzo, Tom McClintock, Thomas Massie, Ralph Norman, Mo Brooks, Glenn Grothman, Jody B. Hice, Bob Good, Marjorie Taylor Greene","Committee on Education and Labor, Committee on the Judiciary",Not Available
117,1,HR 996,To establish a commission to make recommendations on the appropriate size of membership of the House of Representatives and the method by which Members are elected.,Congress Commission Act,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:31:48Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr996ih/summary,Alcee L. Hastings,"Andre Carson, Seth Moulton, Barbara Lee, Darren Soto",Committee on the Judiciary,Not Available
117,1,HR 995,To amend the Child Abuse Prevention and Treatment Act to authorize the Secretary of Health and Human Services to award grants for purposes of reducing child abuse and neglect due to the substance use disorder of a parent or caregiver.,,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:43:46Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr995ih/summary,Josh Harder,Daniel Meuser,Committee on Education and Labor,Not Available
117,1,HR 994,"To prohibit the use of for-profit facilities and detention centers, and for other purposes.",Justice is Not For Sale Act of 2021,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:52:16Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr994ih/summary,Raul M. Grijalva,"Bobby L. Rush, Janice D. Schakowsky, Barbara Lee, Earl Blumenauer, Grace Meng, Ruben Gallego, Eleanor Holmes Norton, Adriano Espaillat, Nydia M. Velazquez, Andre Carson, Ilhan Omar, Adam Smith, Jimmy Gomez, James P. McGovern, Michael F. Q. San Nicolas, Mark Pocan, Bonnie Watson Coleman, Mondaire Jones, Mark Takano, Grace F. Napolitano, Sylvia R. Garcia, Betty McCollum, Juan Vargas, Karen Bass, Henry C. ""Hank"" Johnson, Jr., Pramila Jayapal, Rashida Tlaib, Peter Welch, Gerald E. Connolly, Alexandria Ocasio-Cortez, Veronica Escobar","Committee on Financial Services, Committee on Homeland Security, Committee on Energy and Commerce, Committee on the Judiciary",Not Available
117,1,HR 993,To remove Federal funding from enforcing gun control.,Second Amendment Preservation Act,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:59:23Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr993ih/summary,Marjorie Taylor Greene,"Paul A. Gosar, Randy K. Weber, Sr., Scott Perry, Madison Cawthorn, Thomas Massie",Committee on the Judiciary,Not Available
117,1,HR 992,"To direct the Attorney General to report to Congress on how United States taxpayer-funded research has benefitted China, and for other purposes.",No Taxpayer Funding for the Chinese Communist Party Act of 2021,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:42:17Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr992ih/summary,Bob Good,"Yvette Herrell, Jody B. Hice, Louie Gohmert, James R. Baird","Committee on Foreign Affairs, Committee on Science, Space, and Technology",Not Available
117,1,HR 991,"To prohibit the Secretary of Homeland Security from rescinding, revising, or suspending the final rule, entitled Inadmissibility on Public Charge Grounds, and for other purposes.",Preserving Safety Net Integrity Act of 2021,ih,false,legislative,false,Congressional Bills,U.S. Government Publishing Office,"Y 1.6:, Y 1.4/6:",2021-02-11,HOUSE,Congress,House of Representatives,Bills and Statutes,2024-06-06T19:21:09Z,021-610-00252-9,https://api.govinfo.gov/packages/BILLS-117hr991ih/summary,Bob Good,"Jeff Duncan, Paul A. Gosar, Lauren Boebert, Randy K. Weber, Sr., Louie Gohmert, Jody B. Hice, Scott Perry, Mo Brooks",Committee on the Judiciary,Not Available
